Crash ID,County,Crash Severity,Crash Time,Day of Week,Latitude,Longitude,Weather Condition
12237569,Harris,Not Injured,1920,Saturday,29.65456898,-95.56487762,Clear
12304610,Harris,Non-Incapacitating Injury,326,Saturday,29.84946561,-95.38386143,Clear
12509590,Harris,Not Injured,1945,Saturday,29.88790478,-95.42063307,Clear
12237476,Harris,Possible Injury,300,Sunday,29.73746721,-95.51409415,Clear
12255441,Harris,Not Injured,140,Sunday,29.79779168,-95.27286693,Clear
12255443,Harris,Not Injured,200,Sunday,29.72182825,-95.29498442,Clear
12255450,Harris,Unknown,700,Sunday,29.93900763,-95.35612551,Clear
12386753,Harris,Not Injured,1657,Sunday,29.82225479,-95.26990311,Cloudy
12489572,Harris,Possible Injury,245,Sunday,30.06825363,-95.20771624,Clear
12256126,Harris,Unknown,300,Monday,29.73599411,-95.40542009,Cloudy
12502105,Harris,Non-Incapacitating Injury,431,Tuesday,29.70339482,-95.60451302,Unknown
12254076,Harris,Not Injured,2115,Wednesday,29.81409954,-95.45683316,Clear
12432075,Harris,Killed,39,Wednesday,29.77753601,-95.4097656,Cloudy
12660611,Harris,Possible Injury,2352,Wednesday,29.57552625,-95.09485482,Cloudy
12251447,Harris,Not Injured,2355,Thursday,29.88209478,-95.36739308,Clear
12254101,Harris,Not Injured,235,Thursday,29.74163995,-95.44753083,Clear
12254117,Harris,Not Injured,820,Thursday,29.81689328,-95.48132903,Clear
12254936,Harris,Not Injured,1948,Thursday,29.8059748,-95.54523304,Clear
12531986,Harris,Unknown,2133,Thursday,29.8360689,-95.54389636,Clear
12255801,Harris,Not Injured,1810,Friday,29.73249615,-95.29206374,Clear
12255817,Harris,Not Injured,1930,Friday,29.71545545,-95.31587892,Clear
12412279,Harris,Possible Injury,2153,Friday,29.84887479,-95.51694305,Clear
12255565,Harris,Non-Incapacitating Injury,110,Saturday,29.78456135,-95.56364025,Clear
12336857,Harris,Killed,2045,Saturday,29.58117793,-95.12775308,Clear
12254786,Harris,Not Injured,2240,Sunday,29.83214521,-95.54539674,Clear
12255471,Harris,Not Injured,420,Sunday,29.83948479,-95.48874305,Clear
12357885,Harris,Killed,243,Sunday,29.81681368,-95.50087133,Cloudy
12509007,Harris,Unknown,1,Sunday,29.86958068,-95.39558911,Unknown
12254711,Harris,Unknown,500,Monday,29.71474098,-95.59606795,Cloudy
12351766,Harris,Killed,2128,Tuesday,29.81292252,-95.37507579,Clear
12236451,Harris,Possible Injury,2317,Friday,29.7459748,-95.3276731,Cloudy
12301899,Harris,Non-Incapacitating Injury,2250,Friday,29.731976,-95.50132306,Clear
12302392,Harris,Possible Injury,1835,Friday,29.68446482,-95.50882306,Clear
12467321,Harris,Killed,1557,Friday,29.72923713,-95.444797,Clear
12512484,Harris,Possible Injury,2100,Friday,29.78117482,-95.25119637,Clear
12302114,Harris,Possible Injury,1635,Saturday,29.70508482,-95.50447306,Clear
12388887,Harris,Possible Injury,2340,Saturday,29.78448466,-95.54409703,Clear
12302050,Harris,Not Injured,314,Sunday,29.74539807,-95.37533427,Clear
12478786,Harris,Killed,330,Sunday,29.84684072,-95.35854092,Clear
12252607,Harris,Unknown,2236,Monday,29.77800479,-95.41074255,Clear
12393036,Harris,Not Injured,1605,Monday,29.72814481,-95.43051307,Clear
12302641,Harris,Incapacitating Injury,135,Tuesday,29.81364478,-95.36110309,Clear
12593604,Harris,Possible Injury,20,Tuesday,29.75333479,-95.39224308,Clear
12301913,Harris,Not Injured,30,Wednesday,29.72753481,-95.47644306,Clear
12300437,Harris,Not Injured,2308,Friday,29.66553032,-95.51703544,Clear
12305953,Harris,Not Injured,1950,Friday,29.60602484,-95.44905307,Clear
